region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV stock,Cars,PHEV,2020,stock,5900
New Zealand,Historical,EV stock,Cars,BEV,2020,stock,17000
New Zealand,Historical,EV stock,Cars,BEV,2021,stock,24000
New Zealand,Historical,EV stock,Cars,PHEV,2021,stock,9400
Norway,Historical,EV stock,Cars,BEV,2010,stock,2700
Norway,Historical,EV stock,Cars,PHEV,2010,stock,2
Norway,Historical,EV stock,Cars,PHEV,2011,stock,3
Norway,Historical,EV stock,Cars,BEV,2011,stock,3900
Norway,Historical,EV stock,Cars,BEV,2012,stock,8000
Norway,Historical,EV stock,Cars,PHEV,2012,stock,340
Norway,Historical,EV stock,Cars,PHEV,2013,stock,660
Norway,Historical,EV stock,Cars,BEV,2013,stock,15000
Norway,Historical,EV stock,Cars,BEV,2014,stock,33000
Norway,Historical,EV stock,Cars,PHEV,2014,stock,2300
Norway,Historical,EV stock,Cars,PHEV,2015,stock,10000
Norway,Historical,EV stock,Cars,BEV,2015,stock,59000
Norway,Historical,EV stock,Cars,BEV,2016,stock,83000
Norway,Historical,EV stock,Cars,PHEV,2016,stock,31000
Norway,Historical,EV stock,Cars,PHEV,2017,stock,60000
Norway,Historical,EV stock,Cars,BEV,2017,stock,120000
Norway,Historical,EV stock,Cars,BEV,2018,stock,160000
Norway,Historical,EV stock,Cars,PHEV,2018,stock,87000
Norway,Historical,EV stock,Cars,PHEV,2019,stock,110000
Norway,Historical,EV stock,Cars,BEV,2019,stock,220000
Norway,Historical,EV stock,Cars,BEV,2020,stock,340000
Norway,Historical,EV stock,Cars,PHEV,2020,stock,150000
Norway,Historical,EV stock,Cars,PHEV,2021,stock,180000
Norway,Historical,EV stock,Cars,BEV,2021,stock,450000
Other Europe,Historical,EV stock,Cars,BEV,2010,stock,170
Other Europe,Historical,EV stock,Cars,BEV,2011,stock,1000
Other Europe,Historical,EV stock,Cars,PHEV,2011,stock,19
Other Europe,Historical,EV stock,Cars,PHEV,2012,stock,380
Other Europe,Historical,EV stock,Cars,BEV,2012,stock,2400
Other Europe,Historical,EV stock,Cars,BEV,2013,stock,3500
Other Europe,Historical,EV stock,Cars,PHEV,2013,stock,650
Other Europe,Historical,EV stock,Cars,PHEV,2014,stock,1400
Other Europe,Historical,EV stock,Cars,BEV,2014,stock,6200
Other Europe,Historical,EV stock,Cars,BEV,2015,stock,9600
Other Europe,Historical,EV stock,Cars,PHEV,2015,stock,3300
Other Europe,Historical,EV stock,Cars,PHEV,2016,stock,5600
Other Europe,Historical,EV stock,Cars,BEV,2016,stock,15000
Other Europe,Historical,EV stock,Cars,BEV,2017,stock,24000
Other Europe,Historical,EV stock,Cars,PHEV,2017,stock,9800
Other Europe,Historical,EV stock,Cars,PHEV,2018,stock,15000
Other Europe,Historical,EV stock,Cars,BEV,2018,stock,36000
Other Europe,Historical,EV stock,Cars,BEV,2019,stock,57000
Other Europe,Historical,EV stock,Cars,PHEV,2019,stock,22000
Other Europe,Historical,EV stock,Cars,PHEV,2020,stock,43000
Other Europe,Historical,EV stock,Cars,BEV,2020,stock,93000
Other Europe,Historical,EV stock,Cars,BEV,2021,stock,160000
Other Europe,Historical,EV stock,Cars,PHEV,2021,stock,85000
Poland,Historical,EV stock,Cars,BEV,2015,stock,450
Poland,Historical,EV stock,Cars,BEV,2016,stock,780
Poland,Historical,EV stock,Cars,BEV,2017,stock,1700
Poland,Historical,EV stock,Cars,BEV,2018,stock,2800
Poland,Historical,EV stock,Cars,BEV,2019,stock,5200
Poland,Historical,EV stock,Cars,PHEV,2019,stock,3800
Poland,Historical,EV stock,Cars,PHEV,2020,stock,9000
Poland,Historical,EV stock,Cars,BEV,2020,stock,10000
Poland,Historical,EV stock,Cars,BEV,2021,stock,19000
Poland,Historical,EV stock,Cars,PHEV,2021,stock,19000
Portugal,Historical,EV stock,Cars,BEV,2010,stock,720
Portugal,Historical,EV stock,Cars,BEV,2011,stock,910
